iter	Passed	Remaining
204	1066	4135
205	1071	4128
206	1075	4119
207	1079	4108
208	1082	4097
209	1087	4090
210	1091	4081
211	1095	4072
212	1100	4064
213	1104	4055
214	1108	4045
215	1111	4036
216	1115	4025
217	1119	4015
218	1123	4005
219	1127	3996
220	1131	3987
221	1135	3977
222	1138	3968
223	1143	3959
224	1146	3950
225	1150	3941
226	1154	3931
227	1158	3923
228	1162	3913
229	1166	3904
230	1170	3895
231	1174	3888
232	1178	3880
233	1183	3873
234	1188	3868
235	1192	3861
236	1197	3855
237	1201	3847
238	1209	3849
239	1213	3843
240	1218	3838
241	1223	3832
242	1228	3826
243	1233	3820
244	1238	3815
245	1243	3810
246	1248	3805
247	1254	3804
248	1259	3798
249	1264	3792
250	1268	3785
251	1273	3780
252	1278	3774
253	1282	3767
254	1287	3761
255	1292	3755
256	1296	3748
257	1300	3740
258	1304	3731
259	1309	3725
260	1313	3718
261	1317	3710
262	1321	3702
263	1325	3693
264	1329	3686
265	1333	3679
266	1337	3671
267	1341	3662
268	1345	3655
269	1348	3646
270	1353	3640
271	1357	3633
272	1361	3626
273	1367	3623
274	1371	3616
275	1375	3608
276	1379	3599
277	1382	3591
278	1387	3584
279	1391	3577
280	1395	3571
281	1399	3564
282	1404	3557
283	1410	3556
284	1415	3551
285	1419	3543
286	1423	3536
287	1428	3531
288	1434	3528
289	1438	3521
290	1442	3515
291	1447	3510
292	1451	3503
293	1456	3497
294	1460	3490
295	1464	3482
296	1469	3477
297	1473	3470
298	1477	3463
299	1480	3455
300	1485	3449
301	1489	3442
302	1493	3436
303	1497	3428
304	1501	3422
305	1505	3414
306	1509	3408
307	1513	3401
308	1517	3394
309	1521	3387
310	1526	3381
311	1530	3375
312	1535	3369
313	1539	3363
314	1544	3358
315	1548	3351
316	1551	3343
317	1555	3336
318	1560	3330
319	1563	3323
320	1567	3316
321	1572	3310
322	1575	3302
323	1579	3295
324	1583	3288
325	1588	3284
326	1592	3277
327	1596	3271
328	1600	3264
329	1604	3257
330	1608	3250
331	1612	3244
332	1616	3237
333	1620	3230
334	1624	3223
335	1628	3217
336	1632	3212
337	1636	3204
338	1639	3197
339	1644	3192
340	1648	3186
341	1652	3179
342	1656	3172
343	1660	3166
344	1664	3159
345	1668	3153
346	1672	3147
347	1676	3141
348	1680	3135
349	1684	3129
350	1689	3124
351	1693	3117
352	1697	3111
353	1702	3107
354	1707	3101
355	1711	3095
356	1714	3088
357	1718	3082
358	1723	3077
359	1727	3070
360	1731	3064
361	1735	3058
362	1738	3051
363	1743	3046
364	1747	3040
365	1751	3033
366	1755	3027
367	1759	3021
368	1763	3015
369	1767	3009
370	1771	3003
371	1775	2997
372	1779	2991
373	1783	2985
374	1787	2979
375	1791	2972
376	1795	2966
377	1799	2960
378	1803	2954
379	1807	2949
380	1811	2943
381	1815	2937
382	1819	2930
383	1823	2925
384	1827	2919
385	1831	2913
386	1835	2908
387	1839	2901
388	1844	2896
389	1848	2890
390	1852	2885
391	1856	2879
392	1860	2873
393	1865	2868
394	1869	2862
395	1873	2856
396	1876	2850
397	1880	2845
398	1884	2838
399	1888	2832
400	1892	2827
401	1896	2821
402	1900	2815
403	1904	2808
404	1908	2803
405	1912	2797
406	1916	2792
407	1920	2786
408	1924	2780
409	1927	2774
410	1931	2768
411	1935	2762
412	1939	2756
413	1943	2750
414	1947	2745
415	1951	2739
416	1955	2733
417	1958	2727
418	1963	2722
419	1966	2716
420	1970	2710
421	1974	2704
422	1978	2698
423	1982	2693
424	1986	2687
425	1990	2681
426	1994	2675
427	1997	2669
428	2002	2664
429	2005	2658
430	2009	2653
431	2013	2647
432	2017	2641
433	2022	2637
434	2027	2633
435	2031	2628
436	2035	2622
437	2039	2616
438	2044	2612
439	2048	2606
440	2052	2601
441	2056	2595
442	2060	2590
443	2064	2585
444	2069	2580
445	2076	2579
446	2080	2574
447	2085	2569
448	2089	2564
449	2094	2559
450	2098	2554
451	2102	2549
452	2106	2543
453	2110	2538
454	2114	2532
455	2118	2527
456	2122	2521
457	2126	2516
458	2130	2511
459	2134	2506
460	2138	2500
461	2142	2494
462	2146	2489
463	2150	2484
464	2154	2478
465	2158	2472
466	2161	2467
467	2165	2462
468	2170	2457
469	2174	2451
470	2178	2446
471	2182	2441
472	2186	2436
473	2191	2432
474	2195	2426
475	2199	2421
476	2204	2416
477	2208	2411
478	2212	2406
479	2216	2401
480	2220	2395
481	2224	2390
482	2228	2385
483	2232	2380
484	2236	2374
485	2240	2369
486	2244	2364
487	2248	2359
488	2252	2353
489	2256	2348
490	2260	2343
491	2264	2338
492	2269	2333
493	2272	2328
494	2276	2322
495	2280	2316
496	2284	2312
497	2288	2307
498	2292	2301
499	2297	2297
500	2301	2292
501	2305	2287
502	2309	2282
503	2313	2277
504	2317	2271
505	2321	2266
506	2326	2261
507	2330	2257
508	2334	2251
509	2338	2246
510	2343	2242
511	2347	2237
512	2351	2231
513	2355	2227
514	2359	2222
515	2363	2217
516	2368	2212
517	2372	2207
518	2376	2202
519	2379	2196
520	2383	2191
521	2387	2186
522	2391	2180
523	2394	2175
524	2398	2170
525	2402	2165
526	2406	2159
527	2410	2155
528	2415	2150
529	2418	2144
530	2423	2140
531	2427	2135
532	2431	2130
533	2435	2125
534	2438	2119
535	2442	2114
536	2446	2109
537	2450	2104
538	2454	2099
539	2458	2094
540	2462	2089
541	2465	2083
542	2469	2078
543	2473	2073
544	2477	2068
545	2481	2063
546	2484	2057
547	2488	2052
548	2492	2047
549	2496	2042
550	2500	2037
551	2504	2032
552	2508	2027
553	2512	2022
554	2515	2017
555	2519	2012
556	2524	2007
557	2527	2002
558	2532	1997
559	2536	1992
560	2540	1987
561	2544	1982
562	2548	1977
563	2552	1972
564	2555	1967
565	2559	1962
566	2563	1957
567	2567	1952
568	2570	1947
569	2575	1942
570	2579	1937
571	2582	1932
572	2587	1927
573	2591	1922
574	2594	1917
575	2598	1913
576	2602	1908
577	2606	1903
578	2611	1898
579	2614	1893
580	2618	1888
581	2622	1883
582	2628	1879
583	2632	1875
584	2636	1870
585	2641	1866
586	2648	1863
587	2653	1859
588	2657	1854
589	2661	1849
590	2664	1844
591	2668	1839
592	2673	1835
593	2677	1830
594	2681	1825
595	2685	1820
596	2690	1815
597	2694	1811
598	2698	1806
599	2702	1801
600	2706	1796
601	2709	1791
602	2713	1786
603	2718	1782
604	2722	1777
605	2726	1772
606	2731	1768
607	2735	1763
608	2739	1758
609	2742	1753
610	2747	1749
611	2751	1744
612	2755	1739
613	2759	1734
614	2762	1729
615	2767	1724
616	2771	1720
617	2774	1715
618	2779	1710
619	2783	1705
620	2787	1700
621	2791	1696
622	2795	1691
623	2798	1686
624	2802	1681
625	2806	1676
626	2810	1672
627	2813	1666
628	2818	1662
629	2822	1657
630	2826	1652
631	2829	1647
632	2833	1642
633	2837	1637
634	2840	1632
635	2844	1628
636	2848	1623
637	2852	1618
638	2856	1613
639	2861	1609
640	2866	1605
641	2880	1606
642	2884	1601
643	2887	1596
644	2896	1594
645	2901	1589
646	2905	1585
647	2910	1580
648	2914	1576
649	2918	1571
650	2922	1566
651	2926	1562
652	2930	1557
653	2934	1552
654	2938	1547
655	2942	1542
656	2946	1538
657	2949	1533
658	2955	1529
659	2959	1524
660	2963	1520
661	2968	1515
662	2972	1510
663	2975	1505
664	2979	1500
665	2983	1496
666	2987	1491
667	2991	1486
668	2995	1481
669	2999	1477
670	3003	1472
671	3007	1467
672	3012	1463
673	3016	1458
674	3020	1454
675	3024	1449
676	3028	1445
677	3033	1440
678	3036	1435
679	3040	1430
680	3044	1425
681	3048	1421
682	3052	1416
683	3056	1412
684	3060	1407
685	3063	1402
686	3067	1397
687	3070	1392
688	3074	1387
689	3078	1382
690	3082	1378
691	3086	1373
692	3089	1368
693	3093	1363
694	3096	1359
695	3100	1354
696	3104	1349
697	3108	1344
698	3113	1340
699	3116	1335
700	3120	1331
701	3124	1326
702	3128	1321
703	3132	1317
704	3136	1312
705	3139	1307
706	3143	1302
707	3147	1298
708	3151	1293
709	3155	1288
710	3159	1284
711	3163	1279
712	3167	1274
713	3171	1270
714	3174	1265
715	3178	1260
716	3182	1256
717	3186	1251
718	3190	1247
719	3194	1242
720	3199	1237
721	3203	1233
722	3207	1228
723	3210	1224
724	3214	1219
725	3217	1214
726	3221	1209
727	3225	1204
728	3228	1200
729	3232	1195
730	3236	1190
731	3239	1186
732	3243	1181
733	3247	1176
734	3251	1172
735	3254	1167
736	3259	1163
737	3263	1158
738	3266	1153
739	3270	1149
740	3274	1144
741	3277	1139
742	3281	1134
743	3284	1130
744	3288	1125
745	3291	1120
746	3295	1116
747	3298	1111
748	3302	1106
749	3305	1101
750	3309	1097
751	3312	1092
752	3316	1087
753	3319	1083
754	3323	1078
755	3327	1073
756	3331	1069
757	3335	1064
758	3339	1060
759	3347	1057
760	3351	1052
761	3355	1048
762	3359	1043
763	3364	1039
764	3368	1034
765	3372	1030
766	3376	1025
767	3379	1020
768	3383	1016
769	3387	1011
770	3391	1007
771	3394	1002
772	3398	997
773	3402	993
774	3407	989
775	3411	984
776	3415	980
777	3419	975
778	3423	971
779	3428	966
780	3432	962
781	3435	957
782	3439	953
783	3443	948
784	3447	944
785	3452	939
786	3456	935
787	3459	930
788	3464	926
789	3468	922
790	3472	917
791	3475	912
792	3479	908
793	3483	903
794	3487	899
795	3490	894
796	3495	890
797	3499	885
798	3503	881
799	3507	876
800	3511	872
801	3514	867
802	3518	863
803	3523	858
804	3528	854
805	3531	850
806	3535	845
807	3539	841
808	3543	836
809	3547	832
810	3551	827
811	3555	823
812	3558	818
813	3562	814
814	3566	809
815	3570	805
816	3574	800
817	3578	796
818	3582	791
819	3586	787
820	3589	782
821	3593	778
822	3597	773
823	3601	769
824	3605	764
825	3608	760
826	3612	755
827	3616	751
828	3621	746
829	3624	742
830	3628	738
831	3632	733
832	3636	729
833	3640	724
834	3645	720
835	3652	716
836	3656	712
837	3660	707
838	3664	703
839	3668	698
840	3672	694
841	3675	689
842	3680	685
843	3684	681
844	3689	676
845	3693	672
846	3698	668
847	3703	663
848	3706	659
849	3710	654
850	3714	650
851	3718	645
852	3722	641
853	3725	636
854	3729	632
855	3733	628
856	3737	623
857	3741	619
858	3745	614
859	3749	610
860	3753	606
861	3757	601
862	3761	597
863	3765	592
864	3769	588
865	3773	583
866	3777	579
867	3781	575
868	3784	570
869	3788	566
870	3792	561
871	3796	557
872	3800	552
873	3803	548
874	3807	543
875	3811	539
876	3815	535
877	3818	530
878	3823	526
879	3827	521
880	3832	517
881	3837	513
882	3841	509
883	3846	504
884	3850	500
885	3855	496
886	3859	491
887	3864	487
888	3869	483
889	3873	478
890	3877	474
891	3883	470
892	3887	465
893	3891	461
894	3895	457
895	3899	452
896	3903	448
897	3907	443
898	3911	439
899	3916	435
900	3921	430
901	3925	426
902	3929	422
903	3934	417
904	3938	413
905	3942	409
906	3946	404
907	3950	400
908	3955	395
909	3959	391
910	3963	387
911	3967	382
912	3971	378
913	3975	374
914	3979	369
915	3984	365
916	3988	361
917	3992	356
918	3996	352
919	4000	347
920	4004	343
921	4008	339
922	4012	334
923	4017	330
924	4023	326
925	4028	321
926	4033	317
927	4037	313
928	4041	308
929	4046	304
930	4050	300
931	4054	295
932	4058	291
933	4063	287
934	4067	282
935	4071	278
936	4076	274
937	4080	269
938	4085	265
939	4090	261
940	4094	256
941	4098	252
942	4104	248
943	4108	243
944	4112	239
945	4116	234
946	4120	230
947	4124	226
948	4129	221
949	4133	217
950	4137	213
951	4142	208
952	4146	204
953	4150	200
954	4154	195
955	4158	191
956	4163	187
957	4167	182
958	4172	178
959	4176	174
960	4180	169
961	4185	165
962	4190	160
963	4194	156
964	4198	152
965	4203	147
966	4208	143
967	4212	139
968	4216	134
969	4220	130
970	4225	126
971	4229	121
972	4233	117
973	4237	113
974	4242	108
975	4246	104
976	4251	100
977	4255	95
978	4259	91
979	4264	87
980	4268	82
981	4272	78
982	4277	73
983	4281	69
984	4285	65
985	4290	60
986	4294	56
987	4299	52
988	4303	47
989	4307	43
990	4312	39
991	4315	34
992	4319	30
993	4323	26
994	4328	21
995	4332	17
996	4336	13
997	4340	8
998	4345	4
999	4348	0
