iter	Passed	Remaining
0	176	176552
1	191	95527
2	204	67927
3	218	54346
4	227	45244
5	233	38732
6	239	33959
7	244	30289
8	248	27363
9	252	25007
10	256	23069
11	260	21443
12	264	20059
13	268	18887
14	273	17935
15	278	17099
16	282	16342
17	287	15660
18	291	15045
19	295	14464
20	298	13933
21	302	13464
22	306	13033
23	310	12635
24	314	12267
25	318	11930
26	322	11618
27	326	11323
28	330	11061
29	334	10810
30	338	10569
31	341	10338
32	346	10143
33	349	9937
34	353	9750
35	358	9601
36	362	9447
37	367	9294
38	371	9161
39	376	9037
40	380	8904
41	384	8769
42	390	8684
43	394	8582
44	399	8484
45	404	8389
46	408	8288
47	413	8191
48	416	8092
49	421	8010
50	426	7941
51	431	7874
52	436	7796
53	440	7712
54	444	7631
55	449	7574
56	453	7502
57	457	7427
58	460	7352
59	465	7290
60	471	7255
61	475	7198
62	479	7137
63	483	7078
64	488	7029
65	492	6973
66	496	6920
67	501	6880
68	506	6832
69	510	6784
70	514	6735
71	518	6683
72	522	6639
73	528	6615
74	533	6579
75	538	6546
76	542	6508
77	547	6470
78	551	6432
79	555	6393
80	559	6350
81	563	6308
82	568	6284
83	573	6248
84	576	6209
85	581	6179
86	585	6146
87	589	6110
88	593	6076
89	598	6048
90	601	6012
91	606	5981
92	609	5948
93	614	5918
94	617	5886
95	621	5853
96	626	5832
97	630	5801
98	634	5773
99	638	5742
100	641	5713
101	646	5689
102	650	5661
103	654	5636
104	658	5610
105	662	5585
106	666	5561
107	670	5539
108	674	5517
109	678	5492
110	682	5466
111	687	5449
112	691	5428
113	695	5406
114	700	5387
115	703	5363
116	708	5344
117	712	5324
118	716	5304
119	720	5281
120	723	5258
121	728	5241
122	732	5225
123	737	5207
124	741	5188
125	745	5170
126	749	5151
127	753	5132
128	756	5110
129	760	5092
130	764	5072
131	768	5054
132	772	5036
133	776	5018
134	780	4999
135	784	4980
136	788	4968
137	792	4951
138	796	4933
139	800	4916
140	804	4899
141	808	4885
142	812	4867
143	815	4850
144	820	4836
145	825	4826
146	829	4810
147	831	4785
148	835	4771
149	839	4756
150	843	4741
151	847	4725
152	850	4709
153	854	4694
154	858	4680
155	863	4672
156	867	4657
157	871	4643
158	875	4630
159	879	4616
160	883	4601
161	886	4587
162	890	4574
163	894	4559
164	898	4546
165	902	4532
166	906	4523
167	911	4512
168	915	4500
169	922	4504
170	927	4495
171	931	4484
172	935	4471
173	939	4459
174	943	4446
175	947	4434
176	952	4426
177	955	4414
178	959	4402
179	963	4388
180	967	4378
181	971	4368
182	975	4356
183	980	4346
184	983	4334
185	987	4323
186	991	4311
187	995	4300
188	999	4288
189	1003	4278
190	1007	4266
191	1011	4256
192	1015	4245
193	1019	4234
194	1023	4224
195	1027	4215
196	1031	4204
197	1036	4197
198	1040	4187
199	1044	4179
200	1049	4170
201	1053	4161
202	1057	4152
203	1061	4143
